first_name,last_name,price,above_100
William,Garcia,258.1809089,true
Barbara,Freeman,141.890534,true
Rebecca,Zimmerman,293.373272,true
Patricia,Velasquez,249.9479246,true
Ronnie,Clark,272.908659,true
Timothy,Rose,65.74326968,false
Joshua,Ramirez,64.54997394,false
Joseph,Dawson,111.0171384,true
Robert,Rios,87.31797988,false
Karen,Mitchell,277.2511543,true
Patrick,Greene,7.259436115,false
Matthew,Nelson,295.3146887,true
Melissa,Smith,70.04282129,false
Amy,Johnson,78.26892103,false
Edgar,Ellis,208.6777041,true
Olivia,Rivera,104.8094951,true
Kelly,Leblanc,40.20849552,false
Jennifer,Anderson,17.90633335,false
Tammy,Clark,125.0672217,true
Jennifer,Marquez,21.63604687,false
Cory,Silva,36.24541189,false
Mackenzie,Moon,264.9268902,true
Larry,Wade,126.3049676,true
Diana,Shaffer,37.50406255,false
Stephen,Smith,168.1895294,true
Kendra,White,265.1085587,true
Lindsey,Williamson,280.3953974,true
Wanda,Hale,106.0997985,true
Jillian,Davies,10.64366962,false
Douglas,Thomas,119.0382607,true
Jennifer,Davis,153.0526538,true
George,Holmes,44.38614111,false
Marissa,Webster,105.4378241,true
Anna,Boyle,80.47552199,false
Paul,Gillespie,174.6815735,true
Autumn,Johnston,132.780344,true
Tracey,Norton,118.0225331,true
Amy,Flynn,128.6739798,true
Melissa,Davis,72.58977535,false
Vincent,Mitchell,78.43990466,false
Gregory,Martin,144.6915752,true
Robert Jr.,Coffey,117.3205633,true
Melissa,Montgomery,101.4845534,true
Krystal,Cunningham,296.536062,true
Scott,Lee,163.4878508,true
James,Murray,28.59025756,false
Hunter,Stokes,3.582742282,false
Jasmine,Austin,33.90382995,false
Grant,Summers,51.78034157,false
Sarah,Spencer,271.6023676,true
Brianna,Lewis,192.617676,true
Rhonda,Martin,145.6455553,true
Dennis Jr.,Lawrence,161.3584294,true
Michael,Stewart,245.4400987,true
William,Wilkins,22.90555849,false
Rebecca,Jimenez,142.590737,true
Kathleen,Roman,15.10135967,false
Billy,Smith,22.53181535,false
Nicole,James,101.913846,true
Allison,Holt,12.7990102,false
Amanda,Johnson,19.17461281,false
Michael,Spencer,171.890946,true
Brandi,King,30.05366744,false
Alexander,King,23.47063099,false
Nicole,Sampson,207.6385148,true
Savannah,Bell,22.05563858,false
Jessica,Harris,103.7031099,true
Lauren,Gallagher,266.215602,true
Jack,Townsend,93.27791862,false
Jamie,Nguyen,228.9953328,true
Ann,Price,266.323001,true
Michael,Rodriguez,224.0452951,true
Heather,Davidson,219.8337855,true
Marie,Green,146.6406753,true
Lori,Tapia,147.3422789,true
Kayla,Alvarado,127.2410425,true
Susan,Crosby,200.3652912,true
Nathan,Harris,163.8731027,true
Michael,Daniel,4.582288435,false
Ashley,Jones,53.14943439,false
John,Wright,91.35592502,false
Melissa,Jordan,294.2154133,true
Carrie,Jackson,232.6768105,true
Rebecca,Anderson,183.1702424,true
Paul,Powell,105.1162169,true
Shawn,Baxter,81.03527984,false
Sarah,Wright,141.0101793,true
Kimberly,Romero,235.624084,true
Matthew,Washington,186.5044837,true
Kirk,Hayden,148.2501795,true
Traci,Kelley,41.56298339,false
Isabella,Chen,129.6921072,true
Melanie,Salazar,292.8461055,true
Stephanie,Lewis,76.43122945,false
Christopher,Hensley,249.1556558,true
Terry,Vincent,242.9859001,true
Jason,Alvarado,95.92027624,false
Michelle,Evans,257.2373034,true
Dennis,Benitez,87.11980487,false
Troy,Garcia,181.4054634,true
Albert,Davila,113.2109822,true
Candice,Rivera,42.88132073,false
Cole,Edwards,244.0779245,true
Danielle,Johnson,31.63041433,false
Justin,Ramirez,146.3464935,true
Elizabeth,Griffith,205.7783782,true
Kristin,Clay,260.3474682,true
Joseph,White,65.20753493,false
Marissa,Holmes,59.40240228,false
Michelle,Hamilton,91.62237167,false
Christopher,Alvarez,126.025264,true
Craig,Hogan,136.7126938,true
Melissa,Castillo,281.1608076,true
Maria,Williams,10.21292614,false
Vanessa,Thomas,20.58084145,false
Gary,Obrien,53.39582051,false
Melissa,Holt,252.2818438,true
Eric,Valenzuela,176.52775,true
Anthony,Hardy,4.902725495,false
Karen,Johnson,49.41029242,false
Richard,Hunt,249.7511997,true
Karen,Robertson,1.710967532,false
Adam,Jones,56.93252133,false
Jonathan,Fuller,14.71921636,false
Jason,Harris,151.4305855,true
Danielle,Hill,179.8454001,true
Seth,Freeman,224.5526336,true
Joseph,Davis,97.09676869,false
Sonya,Reyes,209.9855308,true
Michael,Castro,243.1786308,true
Jonathan,Collins,101.4620676,true
Eric,Hayes,279.9732949,true
Eric,Moore,77.4205876,false
Veronica,Estes,270.8232516,true
Timothy,Aguilar,133.1135532,true
Taylor,Hunt,138.2042127,true
Michael,Clarke,128.9532357,true
Cheryl,Morse,275.7612746,true
Jose,Page,184.058919,true
Matthew,Kramer,265.3917788,true
Regina,Barrera,185.2134145,true
Sean,George,53.76304189,false
Cody,Hernandez,180.9265991,true
Hunter,Smith,175.2181525,true
Andrea,Burke,256.3026305,true
Elizabeth,Patterson,290.1129725,true
Austin,Rhodes,158.1182472,true
Maurice,Thompson,224.1265422,true
Richard,Martinez,86.96423972,false
Brian,Hernandez,42.67025555,false
Samantha,Shields,149.8952175,true
Joseph,Walker,282.0494042,true
Tracy,Hernandez,215.0596081,true
Vicki,Fox,41.51250582,false
Louis,Campos,277.9062585,true
Justin,Scott,208.0660064,true
Megan,Vaughn,289.9564106,true
Mary,Hughes,15.21373926,false
Anita,Fleming,58.24742383,false
Alyssa,Melendez,273.6593194,true
Joshua,Foster,253.4093833,true
Lisa,Smith,203.9611381,true
Kathy,Lee,265.446304,true
Bethany,Park,233.6891667,true
Joshua,Butler,239.8213879,true
Danielle,Potter,204.5385362,true
Kenneth,Robinson,152.7840745,true
Eric,Pineda,111.0479315,true
James,Dorsey,68.90463624,false
Michael,Miller,129.6049475,true
Danielle,Martinez,45.94938674,false
Gary,Young,212.2982372,true
Lisa,Decker,275.7158848,true
Kayla,Randolph,232.8220215,true
Peggy,Thompson,124.4664752,true
Alex,Cooper,170.205336,true
Joanne,Wilson,229.6136723,true
Maria,Adams,141.7128665,true
Julie,Horton,276.5816247,true
Jeffrey,Galvan,210.5061915,true
Christopher,Johnson,268.63027,true
Jennifer,Arias,59.59468056,false
Jocelyn,Bell,84.95454821,false
Eric,Brown,133.4007225,true
Devon,Wright,29.21576875,false
Rodney,Robles,158.9838923,true
Kara,Austin,271.4672561,true
Jeffrey,Tanner,203.7433126,true
Shaun,Nunez,153.1987664,true
Daniel,Mccall,143.271503,true
Frank,Owen,233.2015374,true
Beth,Johnson,128.7923576,true
Joshua,Clark,190.9113668,true
Gary,Jones,52.3166247,false
Nancy,Brown,115.9584052,true
Megan,Roach,18.68239346,false
Lucas,Ross,221.1269463,true
Jerry,Tucker,29.95199198,false
Timothy,Robles,76.08225475,false
Christopher,Goodwin,78.12233209,false
Philip,Wilson,22.8431316,false
Carrie,Davis,295.0481315,true
Michael,Daniel,229.951577,true
Bryan,Valenzuela,236.1493796,true
Robin,Garner,79.14737521,false
Angel,Thompson,284.7302014,true
Christopher,Morgan,216.0131402,true
Brittany,Walker,163.1107737,true
Shelby,Mann,110.9021852,true
Jodi,Wells,44.01734436,false
Terri,Gibson,92.36081224,false
Vanessa,Hernandez,105.2534499,true
Maria,Russell,114.1452708,true
Stacy,Moses,126.6504703,true
Amanda,Schneider,288.471694,true
Catherine,Lopez,182.0171244,true
Amanda,White,12.31889758,false
Karina,Spencer,128.1490023,true
Deborah,Warren,139.7675022,true
Erica,Dixon,168.6031566,true
Barbara,Gray,140.7466665,true
Deanna,Watson,264.5411986,true
Michael,Cox,136.7864833,true
Amy,Myers,92.16016851,false
Patrick,Hunter,170.4134515,true
Marvin,Murphy,212.4152504,true
Janice,Graves,223.7037682,true
Brooke,Pierce,171.9383085,true
Adam,Wells,280.2602417,true
Amanda,Atkins,283.4268495,true
Gary,Ruiz,132.504823,true
Tina,Wallace,72.91326395,false
Casey,Oconnell,16.79606077,false
Nancy,Mendoza,281.3890295,true
Luis,Nguyen,34.19827441,false
William,Graves,111.5016422,true
